Unnamed: 0,IAGA_CODE,NAME,COUNTRY,LATITUDE_G,LONGITUDE_G,STATUS,GIN,LATITUDE_M,LONGITUDE_M
62,HON,Honolulu,United States of America,21.32,-158.0,imo,Gol,21.398407689188915,-89.00785387413437
63,HRB,Hurbanovo,Slovakia,47.873,18.19,imo,Par,43.049264972135646,91.78641190218997
64,HRN,Hornsund,Norway,77.0,15.55,imo,Edi,74.68916534376157,104.53026397772909
65,HUA,Huancayo,Peru,-12.05,-75.32999999999998,imo,Edi,-0.6843139127497011,-2.871277167862433
66,HYB,Hyderabad,India,17.42,78.55,imo,Edi,11.692293916837713,151.71504802597929
67,IPM,Isla de Pascua Mataveri (Easter Island),Chile,-27.1713,-109.42,closed,Par,-19.7266404118607,-32.5316852656207
68,IQA,Iqaluit,Canada,63.753,-68.51799999999997,imo,Ott,70.57848529282094,14.459556208345257
69,IRT,Irkutsk,Russia,52.27,104.45,imo,Edi,48.39665282438146,178.8957859972333
70,ISK,Istanbul-Kandilli,Turkey,41.063,29.062,closed,Edi,35.90343411643398,101.24854503877306
71,IZN,Iznik,Turkey,40.5,29.72,imo,Edi,35.31975865813683,101.85544323930814
72,JAI,Jaipur,India,26.92,75.8,imo,Kyo,22.15080273922777,149.03245733356815
73,JCO,Jim Carrigan Observatory,United States of America,70.356,-148.799,imo,Edi,70.44562083967699,-95.91958972216676
74,KAK,Kakioka,Japan,36.232,140.186,imo,Kyo,29.438091027513416,-146.5752319485877
75,KDU,Kakadu,Australia,-12.69,132.47,imo,Edi,-21.467300238874316,-154.67629641620914
76,KEP,King Edward Point,South Georgia and the South Sandwich Islands,-54.2821,-36.49290000000002,imo,Edi,-46.19935763781794,25.941980642155997
77,KHB,Khabarovsk,Russia,47.61,134.69,imo,Edi,41.70141310977773,-151.29773391127208
78,KIV,Kiev,Ukraine,50.72,30.3,imo,Edi,46.800263018369506,103.47107529163962
79,KMH,Keetmanshoop,Namibia,-26.54,18.11,imo,Edi,-36.45284528101911,86.87340074717842
80,KNY,Kanoya,Japan,31.42,130.88,imo,Kyo,25.061447290694034,-155.55638928619737
81,KOU,Kourou,French Guiana,5.21,-52.73000000000002,imo,Par,,
82,LER,Lerwick,United Kingdom,60.138,-1.1829999999999927,imo,Edi,57.512109902436976,78.56656514585461
83,LNP,Lunping,Taiwan,25.0,121.167,closed,Kyo,19.09627047100227,-165.55631802390033
84,LON,Lonjsko Polje,Croatia,45.4081,16.6592,imo,Edi,40.01997321700613,90.01184259209491
85,LOV,Lovo,Sweden,59.34,17.82,closed,Edi,56.05559819279956,94.15673882607355
86,LRM,Learmonth,Australia,-22.22,114.1,imo,Edi,-32.023383799900145,-173.55972485605815
87,LVV,Lviv,Ukraine,49.9,23.75,imo,Edi,45.63425984089122,97.21610836535221
88,LYC,Lycksele,Sweden,64.612,18.748,imo,Edi,61.73453279485431,96.968627122088
89,LZH,Lanzhou,China,36.087,103.845,closed,Par,31.515956331363597,177.52937219012782
